62856	15	3892
417945	15	4854
653692	15	4854
1871008	15	4091
2258440	15	1066
2627680	15	3135
2971928	15	4735
3289901	15	4540
3641003	15	4768
4016779	15	4285
4036643	15	2907
4036852	15	3087
4036862	15	3097
4036889	15	3122
4196580	15	2903
4196584	15	2907
4330320	15	4776
4479080	15	180
4544550	15	4806
4931603	15	1180
5305793	15	3592
5580753	15	959
6379646	15	1074
7700506	15	889
7765176	15	1424
7814118	15	4865
7964689	15	444
8028252	15	3405
10176631	15	255
10917728	15	4776
11362737	15	699
11505742	15	1944
11628423	15	3922
12104196	15	1254
12240097	15	557
12768085	15	1979
13503274	15	2474
14213980	15	4131
14332784	15	3257
14631867	15	4887
14817255	15	3629
14908559	15	4817
15026208	15	4084
15479975	15	2822
16136668	15	4877
17709645	15	2481
17710518	15	3518
17897918	15	2782
17897922	15	2786
18061919	15	721
18359348	15	4854
18692555	15	4817
18982079	15	4887
18982197	15	4887
18988793	15	4776
19520179	15	215
20026511	15	381
20027298	15	2481
20056648	15	1944
20069718	15	4785
20545809	15	3922
20609507	15	4944
100 15  50	
30  15  20	
99  15  49
EOR
